,trial,time,y_attacker,x_attacker,y_end_attacker,x_target,y_target,goal_mean,goal_upper,goal_lower,p_in,goal_upper_expand,goal_lower_expand,decision_expand,d_prime_expand
3,443.0,0.14666666666666667,-2.5,-16.25,-2.5,0.0,0.9710764416887647,0.0,4.0,-4.0,1.0,2.0129594303529776,-2.8009236454249775,hit,0.0
4,443.0,0.19277777777777777,-2.5,-15.0,-2.5,0.0,-3.3956653963640706,0.0,4.0,-4.0,1.0,2.0129594303529776,-3.3956653963640706,hit,0.0
5,443.0,0.23888888888888887,-2.5,-13.75,-2.5,0.0,-2.729943288323925,0.0,4.0,-4.0,1.0,2.0129594303529776,-3.3956653963640706,hit,0.0
6,443.0,0.28500000000000003,-2.5,-12.5,-2.5,0.0,-3.5966647343023945,0.0,4.0,-4.0,1.0,2.0129594303529776,-3.5966647343023945,hit,0.0
7,443.0,0.33111111111111113,-2.5,-11.25,-2.5,0.0,1.2445615987307885,0.0,4.0,-4.0,1.0,2.0129594303529776,-3.5966647343023945,hit,0.0
8,443.0,0.37722222222222224,-2.5,-10.0,-2.5,0.0,2.0842471823548028,0.0,4.0,-4.0,1.0,2.0842471823548028,-3.5966647343023945,hit,0.0
9,443.0,0.42333333333333334,-2.5,-8.75,-2.5,0.0,0.13344277466178056,0.0,4.0,-4.0,1.0,2.0842471823548028,-3.5966647343023945,hit,0.0
10,443.0,0.46944444444444444,-2.5,-7.5,-2.5,0.0,-0.6751802619902652,0.0,4.0,-4.0,1.0,2.0842471823548028,-3.5966647343023945,hit,0.0
11,443.0,0.5155555555555555,-2.5,-6.25,-2.5,0.0,3.183247746572036,0.0,4.0,-4.0,1.0,3.183247746572036,-3.5966647343023945,hit,0.0
12,443.0,0.5616666666666666,-2.5,-5.0,-2.5,0.0,1.6069625199938544,0.0,4.0,-4.0,1.0,3.183247746572036,-3.5966647343023945,hit,0.0
13,443.0,0.6077777777777778,-2.5,-3.75,-2.5,0.0,-1.2296780194113541,0.0,4.0,-4.0,1.0,3.183247746572036,-3.5966647343023945,hit,0.0
14,443.0,0.6538888888888889,-2.5,-2.5,-2.5,0.0,2.5414809484639225,0.0,4.0,-4.0,1.0,3.183247746572036,-3.5966647343023945,hit,0.0
15,443.0,0.7,-2.5,-1.25,-2.5,0.0,2.1760593355511633,0.0,4.0,-4.0,1.0,3.183247746572036,-3.5966647343023945,hit,0.0
0,444.0,0.008333333333333333,2.5,-20.0,2.5,0.0,1.8226794870721745,0.0,4.0,-4.0,0.9145216225707086,1.8226794870721745,1.8226794870721745,miss,0.0
1,444.0,0.05444444444444444,2.5,-18.75,2.5,0.0,-1.7294503360135103,0.0,4.0,-4.0,0.8462574238376865,1.8226794870721745,-1.7294503360135103,miss,0.0
2,444.0,0.10055555555555555,2.5,-17.5,2.5,0.0,2.0232148683904834,0.0,4.0,-4.0,0.8862129638056458,2.0232148683904834,-1.7294503360135103,miss,0.0
3,444.0,0.14666666666666667,2.5,-16.25,2.5,0.0,-1.926321244602109,0.0,4.0,-4.0,0.8806823979677322,2.0232148683904834,-1.926321244602109,miss,0.0
4,444.0,0.19277777777777777,2.5,-15.0,2.5,0.0,3.253614112379954,0.0,4.0,-4.0,1.0,3.253614112379954,-1.926321244602109,hit,0.0
5,444.0,0.23888888888888887,2.5,-13.75,2.5,0.0,-1.885375873221804,0.0,4.0,-4.0,1.0,3.253614112379954,-1.926321244602109,hit,0.0
6,444.0,0.28500000000000003,2.5,-12.5,2.5,0.0,-3.4773405955269583,0.0,4.0,-4.0,1.0,3.253614112379954,-3.4773405955269583,hit,0.0
7,444.0,0.33111111111111113,2.5,-11.25,2.5,0.0,-0.5703256094444642,0.0,4.0,-4.0,1.0,3.253614112379954,-3.4773405955269583,hit,0.0
8,444.0,0.37722222222222224,2.5,-10.0,2.5,0.0,3.1085645991831647,0.0,4.0,-4.0,1.0,3.253614112379954,-3.4773405955269583,hit,0.0
9,444.0,0.42333333333333334,2.5,-8.75,2.5,0.0,0.8138532747453207,0.0,4.0,-4.0,1.0,3.253614112379954,-3.4773405955269583,hit,0.0
10,444.0,0.46944444444444444,2.5,-7.5,2.5,0.0,-0.02792161980673491,0.0,4.0,-4.0,1.0,3.253614112379954,-3.4773405955269583,hit,0.0
11,444.0,0.5155555555555555,2.5,-6.25,2.5,0.0,-1.284125379629483,0.0,4.0,-4.0,1.0,3.253614112379954,-3.4773405955269583,hit,0.0
12,444.0,0.5616666666666666,2.5,-5.0,2.5,0.0,-0.1677918366597977,0.0,4.0,-4.0,1.0,3.253614112379954,-3.4773405955269583,hit,0.0
13,444.0,0.6077777777777778,2.5,-3.75,2.5,0.0,-2.6387363021775485,0.0,4.0,-4.0,1.0,3.253614112379954,-3.4773405955269583,hit,0.0
14,444.0,0.6538888888888889,2.5,-2.5,2.5,0.0,0.41136994481597444,0.0,4.0,-4.0,1.0,3.253614112379954,-3.4773405955269583,hit,0.0
15,444.0,0.7,2.5,-1.25,2.5,0.0,2.5126138004616276,0.0,4.0,-4.0,1.0,3.253614112379954,-3.4773405955269583,hit,0.0
0,445.0,0.008333333333333333,3.5,-20.0,3.5,0.0,1.7524689971433833,0.0,4.0,-4.0,0.7816211872054855,1.7524689971433833,1.7524689971433833,miss,0.0
1,445.0,0.05444444444444444,3.5,-18.75,3.5,0.0,3.4019103364158685,0.0,4.0,-4.0,0.9846329798215814,3.4019103364158685,1.7524689971433833,miss,0.0
2,445.0,0.10055555555555555,3.5,-17.5,3.5,0.0,1.3649667828843013,0.0,4.0,-4.0,0.9836343720775228,3.4019103364158685,1.3649667828843013,miss,0.0
3,445.0,0.14666666666666667,3.5,-16.25,3.5,0.0,-1.672887968421838,0.0,4.0,-4.0,0.9666384840248711,3.4019103364158685,-1.672887968421838,miss,0.0
4,445.0,0.19277777777777777,3.5,-15.0,3.5,0.0,0.24403300882738055,0.0,4.0,-4.0,0.9666384840248711,3.4019103364158685,-1.672887968421838,miss,0.0
5,445.0,0.23888888888888887,3.5,-13.75,3.5,0.0,-3.0976875217917623,0.0,4.0,-4.0,0.9349579953497987,3.4019103364158685,-3.0976875217917623,miss,0.0
6,445.0,0.28500000000000003,3.5,-12.5,3.5,0.0,-2.679343657567898,0.0,4.0,-4.0,0.9349579953497987,3.4019103364158685,-3.0976875217917623,miss,0.0
7,445.0,0.33111111111111113,3.5,-11.25,3.5,0.0,-3.371559807767871,0.0,4.0,-4.0,0.9204347430917732,3.4019103364158685,-3.371559807767871,miss,0.0
8,445.0,0.37722222222222224,3.5,-10.0,3.5,0.0,3.0398487366667863,0.0,4.0,-4.0,0.9204347430917732,3.4019103364158685,-3.371559807767871,miss,0.0
9,445.0,0.42333333333333334,3.5,-8.75,3.5,0.0,0.1197704228496006,0.0,4.0,-4.0,0.9204347430917732,3.4019103364158685,-3.371559807767871,miss,0.0
10,445.0,0.46944444444444444,3.5,-7.5,3.5,0.0,3.761712586927695,0.0,4.0,-4.0,1.0,3.761712586927695,-3.371559807767871,hit,0.0
11,445.0,0.5155555555555555,3.5,-6.25,3.5,0.0,-0.6092063328637654,0.0,4.0,-4.0,1.0,3.761712586927695,-3.371559807767871,hit,0.0
12,445.0,0.5616666666666666,3.5,-5.0,3.5,0.0,-1.7698288699097908,0.0,4.0,-4.0,1.0,3.761712586927695,-3.371559807767871,hit,0.0
13,445.0,0.6077777777777778,3.5,-3.75,3.5,0.0,-0.11766203451031032,0.0,4.0,-4.0,1.0,3.761712586927695,-3.371559807767871,hit,0.0
14,445.0,0.6538888888888889,3.5,-2.5,3.5,0.0,-1.1030698050265197,0.0,4.0,-4.0,1.0,3.761712586927695,-3.371559807767871,hit,0.0
15,445.0,0.7,3.5,-1.25,3.5,0.0,-0.8533875918374028,0.0,4.0,-4.0,1.0,3.761712586927695,-3.371559807767871,hit,0.0
0,446.0,0.008333333333333333,4.5,-20.0,4.5,0.0,-3.760807962624332,0.0,4.0,-4.0,0.0,-3.760807962624332,-3.760807962624332,correct_reject,0.0
1,446.0,0.05444444444444444,4.5,-18.75,4.5,0.0,-1.6328666337431592,0.0,4.0,-4.0,0.0,-1.6328666337431592,-3.760807962624332,correct_reject,0.0
2,446.0,0.10055555555555555,4.5,-17.5,4.5,0.0,3.857962229302702,0.0,4.0,-4.0,0.0,3.857962229302702,-3.760807962624332,correct_reject,0.0
3,446.0,0.14666666666666667,4.5,-16.25,4.5,0.0,-2.8887103121718294,0.0,4.0,-4.0,0.0,3.857962229302702,-3.760807962624332,correct_reject,0.0
4,446.0,0.19277777777777777,4.5,-15.0,4.5,0.0,-2.310254862985147,0.0,4.0,-4.0,0.0,3.857962229302702,-3.760807962624332,correct_reject,0.0
5,446.0,0.23888888888888887,4.5,-13.75,4.5,0.0,-0.7355546145792671,0.0,4.0,-4.0,0.0,3.857962229302702,-3.760807962624332,correct_reject,0.0
6,446.0,0.28500000000000003,4.5,-12.5,4.5,0.0,-2.1245796941007455,0.0,4.0,-4.0,0.0,3.857962229302702,-3.760807962624332,correct_reject,0.0
7,446.0,0.33111111111111113,4.5,-11.25,4.5,0.0,0.29736403930728716,0.0,4.0,-4.0,0.0,3.857962229302702,-3.760807962624332,correct_reject,0.0
