,Unnamed: 0,trial,time,y_attacker,x_attacker,y_end_attacker,x_target,y_target,goal_mean,goal_upper,goal_lower,p_in,goal_upper_expand,goal_lower_expand,decision_expand,d_prime_expand,p_in_diff
12486,6,780.0,0.28500000000000003,2.5,-12.5,2.5,0.0,-1.3928425522041987,0.0,4.0,-4.0,1.0,3.5838104155428114,-3.514894628178272,hit,0.0,0.0
12487,7,780.0,0.33111111111111113,2.5,-11.25,2.5,0.0,1.9645755180471107,0.0,4.0,-4.0,1.0,3.5838104155428114,-3.514894628178272,hit,0.0,0.0
12488,8,780.0,0.37722222222222224,2.5,-10.0,2.5,0.0,3.409285130246817,0.0,4.0,-4.0,1.0,3.5838104155428114,-3.514894628178272,hit,0.0,0.0
12489,9,780.0,0.4233333333333333,2.5,-8.75,2.5,0.0,0.19301971238614435,0.0,4.0,-4.0,1.0,3.5838104155428114,-3.514894628178272,hit,0.0,0.0
12490,10,780.0,0.4694444444444445,2.5,-7.5,2.5,0.0,-3.2191251860542147,0.0,4.0,-4.0,1.0,3.5838104155428114,-3.514894628178272,hit,0.0,0.0
12491,11,780.0,0.5155555555555555,2.5,-6.25,2.5,0.0,1.6633256942858257,0.0,4.0,-4.0,1.0,3.5838104155428114,-3.514894628178272,hit,0.0,0.0
12492,12,780.0,0.5616666666666666,2.5,-5.0,2.5,0.0,3.5104269727812643,0.0,4.0,-4.0,1.0,3.5838104155428114,-3.514894628178272,hit,0.0,0.0
12493,13,780.0,0.6077777777777778,2.5,-3.75,2.5,0.0,3.6463007934726033,0.0,4.0,-4.0,1.0,3.6463007934726033,-3.514894628178272,hit,0.0,0.0
12494,14,780.0,0.6538888888888889,2.5,-2.5,2.5,0.0,1.4096298011089337,0.0,4.0,-4.0,1.0,3.6463007934726033,-3.514894628178272,hit,0.0,0.0
12495,15,780.0,0.7,2.5,-1.25,2.5,0.0,0.4557760041867427,0.0,4.0,-4.0,1.0,3.6463007934726033,-3.514894628178272,hit,0.0,0.0
12496,0,781.0,0.008333333333333333,3.5,-20.0,3.5,0.0,0.929039778517054,0.0,4.0,-4.0,0.6786299723146317,0.929039778517054,0.929039778517054,miss,0.0,0.6786299723146317
12497,1,781.0,0.054444444444444434,3.5,-18.75,3.5,0.0,3.743556252163824,0.0,4.0,-4.0,1.0,3.743556252163824,0.929039778517054,hit,0.0,0.32137002768536826
