success,rea_time,mov_time,initPixx,t_draw,t_kbdown,t_eyesfixed,t_go,t_disap,t_movStart,t_movEnd,t_cross,t_end,goResp,hitGoal,goalY,in_out,up_down,difficulty,attackerY,posSet_ 1,posSet_ 2,posSet_ 3,posSet_ 4,posSet_ 5,posSet_ 6,posSet_ 7,posSet_ 8,posSet_ 9,posSet_10,posSet_11,posSet_12,posSet_13,posSet_14,posSet_15,posSet_16,posSet_17,posSet_18,posSet_19,posSet_20,posSet_21,posSet_22,posSet_23,posSet_24,posSet_25,posSet_26,posSet_27,posSet_28,posSet_29,posSet_30,posSet_31,posSet_32,posSet_33,posSet_34,posSet_35,posSet_36,posSet_37,posSet_38,posSet_39,posSet_40,posSet_41,posSet_42,posSet_43,posSet_44,posSet_45,posSet_46,posSet_47,posSet_48,posSet_49,posSet_50,posSet_51,posSet_52,posSet_53,posSet_54,posSet_55,posSet_56,posSet_57,posSet_58,posSet_59,posSet_60,posMovStart,posMovEnd
1,NaN,NaN,2309.45643068,2309.75637972,2310.380887,2310.05595172,2311.11331364,2311.53943172,NaN,2311.82287324,2311.82287324,2311.82300516,0,1,711.450521920407,-1,1,0.05,8.95,813.540905279193,626.249877683993,646.603225367976,654.719531522072,630.23285520163,730.415826743687,825.63027131392,715.967798654512,685.585753294847,829.424619115821,783.301048448117,786.625917182596,701.353924563165,816.464833050929,691.241116623803,789.29328936082,771.201848347383,646.301057495923,832.285847564121,783.835926300685,609.463432092428,767.155405330925,671.417497987246,696.700998779296,739.209889050886,664.449456566837,780.224296806652,815.446530176989,642.626751157541,775.607301702952,719.241448611454,772.261445422604,726.443322551778,730.608244378264,778.636835452664,824.576674679058,738.799590396828,711.929754073362,832.148591082171,618.047290029912,637.266341446152,764.90976327655,793.196154809955,654.498886667998,616.01037055088,714.506650583927,691.636250361645,744.389810076899,827.18877950941,658.184762132422,809.374574853424,798.894068909672,829.537778357673,746.70986374016,796.189063729194,793.069775997636,765.170394007064,611.305261126759,628.093535899013,599.715376183276,0,0
1,NaN,NaN,2311.82300516,2312.12307504,2312.25600632,2312.355929,2313.08811744,2313.51572136,NaN,2313.79773572,2313.79773572,2313.79781724,0,0,454.274739039796,1,-1,0.7,-7.2,516.928660703364,457.21773597009,530.183067044551,339.252058421652,528.137232408422,376.929490146124,342.892512019596,540.677049970921,438.511221480755,419.897264948525,338.35033463793,497.903599701833,383.59207527747,433.624970523541,379.478017911868,371.008292838872,540.937852536917,511.10033563656,407.51006031194,380.745838502718,556.495840820661,487.056815632602,414.147556975338,507.310226039563,353.201208191436,541.737551937817,513.224768179562,474.068244946521,439.70535076699,536.583958091231,339.994561714823,496.658627133678,461.58442412446,430.48400373069,488.911215752353,413.959622056152,448.690251175534,524.347055345051,570.626430090785,460.410259395555,416.888537299142,415.461091984883,498.688743277389,461.133809031785,442.529768591863,535.986281214105,433.797359200448,445.485298916315,486.610073404524,343.674334278038,372.993124112753,345.320233052453,387.477465383348,512.355311498283,569.619375083304,349.590358195742,413.53569935978,523.30078336509,534.111095598966,363.713424637268,0,0
1,NaN,NaN,2313.79781724,2314.09774516,2314.33954516,2314.30596648,2315.07199544,2315.49778088,NaN,2315.7816022,2315.7816022,2315.78169836,0,0,454.274739039796,1,1,0.7,2.2,524.294736688083,370.334899129504,474.492827559824,527.069487740962,540.78523967217,445.847102181698,509.115298054013,471.165119758423,575.994913904601,572.452121526164,339.580418221363,414.552803079426,467.276551253398,434.993143250673,370.108993790362,446.300227045753,424.492161154742,373.279677540197,520.982471464947,542.795606392485,419.482482867884,454.51712288669,471.578479543678,386.433600529362,494.640437861449,399.114720931218,473.39029486846,406.425348877941,366.708536287452,479.109756689349,388.690440482678,573.023653763502,487.131099342981,360.567320095482,420.912396444453,448.925023675852,479.420602306376,569.646486817099,431.846827578086,495.292972009866,557.080087760175,426.392700988719,392.896594152718,463.550111082942,335.057199075114,337.000087539584,439.412470726262,383.218509698666,443.631280600854,365.38072970214,363.152503752171,389.810266441543,497.832936821733,461.945789433118,524.105709937529,491.60879755349,540.667440002464,338.764782491801,402.436993615394,333.31447479312,0,0
1,NaN,NaN,2315.78169836,2316.08950212,2316.089587,2316.22262096,2316.95483364,2317.38156252,NaN,2317.66446476,2317.66446476,2317.66454616,0,0,540,1,-1,0.483333333333333,-4.48333333333333,591.94424228086,570.141617154665,589.670853307724,554.305879381645,586.445168643171,520.140048580037,575.15008911433,626.539570786578,638.641657754273,467.755590695909,643.829459623132,542.641140218226,630.231365796701,578.39913720303,537.329689213624,439.921794140585,655.476533881473,543.10001496701,533.777511064927,609.573863081588,472.006443335538,623.021065928893,479.322807997655,608.982262370974,580.650453903429,533.129955046442,476.631954524641,608.386277246412,473.608489562937,647.545489892238,623.243904816683,433.690415654474,630.493291704766,474.895597521423,454.216343913546,651.013870330089,550.96701661523,477.572264960671,554.154945074266,441.657821913708,591.604330536984,638.965693620449,487.770054039302,529.555575760464,526.812966125952,626.904829055951,560.500973849311,628.908657700657,564.936508886499,441.467769348718,577.024266397316,419.331001574379,437.9733041802,608.106224261375,571.166425133358,659.448868363898,473.458275611868,419.196671070495,446.811785819468,527.37709745478,0,0
1,NaN,NaN,2317.66454616,2317.96480804,2318.1144482,2318.1144482,2318.84674248,2319.27284028,NaN,2319.55645916,2319.55645916,2319.556569,0,1,454.274739039796,-1,1,1.78333333333333,-0.283333333333333,387.63859345985,515.942891736397,346.166462010333,540.40294250532,418.223301873404,505.670200462505,517.44037004607,523.860546499658,426.332187102785,564.307216353106,437.138510868961,440.148693679069,425.065351974619,521.627350619443,566.661293616704,561.268433066813,523.924488666418,469.213124387904,439.904699079482,491.447047756877,555.103122262106,412.211547509556,566.288903998263,460.55640308018,377.531393964057,530.859223150817,458.294840963028,489.535257741151,342.955808229315,336.217367905371,475.08877766186,347.425515952372,431.598866123398,331.227561269624,398.986161875565,505.466585505319,360.432429469925,407.034255408358,489.666114084601,412.207027093205,359.96887352418,404.027879769922,484.291958617091,464.608329533275,546.09155090202,544.152232099979,511.528318498458,476.192644886459,381.693983715577,402.889432353703,554.89734156858,428.318203245884,473.224330733367,463.676730074883,364.50421471826,401.587919057895,401.33842128449,446.381375970935,348.677618626964,376.306695050106,0,0
0,NaN,NaN,2319.556569,2319.85648132,NaN,2320.84768816,NaN,NaN,NaN,NaN,NaN,2321.58865492,0,1,711.450521920407,-1,1,1.56666666666667,7.43333333333333,732.220843277558,670.150946380585,766.796598258592,591.29220152749,786.606748164147,798.55523186282,779.281290937152,676.859641126296,825.55334279448,770.001407104275,643.778748499935,628.649989972286,729.648402878057,606.975211082216,775.322963811278,789.843235499043,646.574859891094,744.441719037807,795.610247582294,651.004914790467,650.831087925513,755.38269745399,691.879092984353,704.371404383491,814.400864244944,824.34962365793,610.034882376774,594.294976768541,703.073709017833,652.970217777079,716.595819224742,736.725854652783,672.321044899143,810.748372238456,619.350678240978,588.073649947184,650.615924295645,803.607402453932,768.949511079334,626.683172191557,597.338486197835,633.157552176692,787.685200299977,704.157626488562,790.337345365238,699.069746771993,782.963424772436,617.29137098718,756.822784005971,592.630827662499,695.098143506071,768.522861226175,589.080621418267,655.458808553946,729.522899608876,604.590979808294,792.940603528721,599.778359554444,707.608496900256,735.838104943385,0,0
1,0.392636160000166,0.241954680000163,2321.58865492,2324.48954204,2324.84784712,2324.65605044,2325.58008428,2326.006256,2325.97272044,2326.21467512,2326.28961484,2326.28976056,1,1,540,-1,1,1.35,2.65,620.225569179005,556.308962278036,576.045264399941,537.212649353533,524.194805473416,613.913883007264,498.787237613362,578.144511574598,573.232264304881,586.453164683664,514.577382132336,482.724739821428,428.408137960719,423.118952635127,549.69247543423,648.732154611612,619.62554565524,608.129645214857,557.754761590884,643.167531358898,484.557348209009,628.155709229827,656.791831947126,569.151091266888,586.916823794793,419.426817598729,638.81550670067,420.183996317229,502.950748535267,499.470078820377,503.419235437874,582.776392105134,592.880165617397,627.890000381043,474.058638687787,537.511978107327,657.235223073605,623.289330726684,613.132793900544,499.261878038828,572.698578705543,592.646016740846,467.723085325955,637.418525646512,613.157746719549,512.707081516693,578.560689715904,622.159059036287,463.63293448225,630.632182040596,483.92743139232,521.975431006354,556.763705777583,563.19086260557,477.160581288612,591.020928264993,582.447649988004,612.651202034645,605.478363624105,512.191774276108,9,14
0,0.392581199999768,0.316920960000061,2326.28976056,2326.5896244,2326.98948568,2326.93940308,2327.7218276,2328.14798336,2328.1144088,2328.43132976,2328.43132976,2328.43148796,0,0,711.450521920407,1,1,0.7,9.7,796.476883222215,792.441131017798,740.377259841166,634.83435103741,680.212476506456,694.832907886283,679.320752436836,703.015514341911,692.449837105763,707.355599708608,751.781589131521,618.875297358666,614.771992294323,646.252994344611,714.954497774333,726.873140903476,733.226885077618,779.168305269391,747.405651596994,739.077156532259,609.595898721724,801.573298579175,787.710791709943,729.013817391026,762.200299115795,687.907472571787,727.44824406795,802.034116586038,733.734276509607,695.489655033184,706.523702551161,664.420419803051,634.536153395344,782.477908014914,674.794576337717,685.361999128385,747.889644446869,706.970747459678,731.689318165523,757.912078024616,616.338442233517,759.19158194856,774.429543035139,771.8466127579,681.603360717897,683.695076128143,802.923775410569,647.737010804383,801.232934334027,749.132595147033,799.852819567728,807.156573896698,626.211168297233,782.383865087074,829.750333669486,826.604780966204,673.916795184294,769.252532059212,714.346947988808,830.320926271216,9,0
1,NaN,NaN,2328.43148796,2328.77277028,2329.08973648,2329.04779976,2329.82211356,2330.24799752,NaN,2330.53146208,2330.53146208,2330.53155536,0,0,711.450521920407,1,1,0.916666666666667,9.91666666666667,660.320730631003,721.880216926932,607.740151287513,815.001504576286,708.389455444377,656.509514994328,745.439281304959,772.03959700709,807.706080686971,618.023358414989,714.627649405927,781.055250539429,634.840380738792,656.584459365627,687.544440243277,627.604980163897,766.175567635331,598.739238594404,636.636102473639,801.028863574796,820.334743082353,599.312623844713,667.159231232091,667.343968804943,770.218485806953,715.769186689395,684.967121663555,608.999839088778,826.855170026807,604.962306636557,691.773944500194,606.064812233891,734.411279422771,744.218882347241,791.02336133875,656.275403981901,598.163892516653,796.326778593692,717.075115789382,806.574293303382,701.838967364907,803.856559375144,635.968510634822,806.396922790997,665.652052470335,678.136542334827,687.174459915106,632.56434175115,588.771373652222,642.305257825346,699.938824835422,626.241821870687,819.783463223001,655.0191601566,818.012484522922,826.201468894302,825.871045090187,824.571677451449,718.025980792755,735.926787122635,0,0
1,NaN,NaN,2330.53155536,2330.80612764,2331.03987968,2331.10612684,2331.83837036,2332.264796,NaN,2332.54847212,2332.54847212,2332.5485726,0,0,625.725260960204,1,-1,0.916666666666667,-2.41666666666667,580.207650252346,708.400626036301,549.922830798029,714.110338041914,639.194441355774,640.324153065492,502.533331285875,683.320173651885,709.007451494159,535.623932002879,741.174360222593,728.793553264309,562.674954113479,602.116250268558,618.752474468615,695.55088152779,693.5475690773,577.944235729106,631.300868580065,661.489395129301,535.450998339984,522.199147556369,511.903473987218,622.50975208626,684.362912261012,605.90647133776,591.761702335593,591.34539758832,735.683683193942,732.541863213609,732.251420595932,737.959774576823,685.5881407853,533.473002925696,594.916181734367,642.002793710386,590.877539297299,665.854822346531,529.800042991636,504.078151449765,633.991544580038,681.861467920143,520.079995854643,598.001401101673,511.685133511591,583.016681048771,679.49930578316,517.039650747036,568.525184468432,570.89555577769,630.281178869285,618.365854596626,539.186260462546,613.804845732032,642.045707147031,585.891855172398,519.574499515675,573.27402031142,700.952648323326,707.619561002061,0,0
0,0.451116319999983,0.258643719999782,2332.5485726,2332.823004,2332.82308228,2333.15614052,2333.88836676,2334.31472664,2334.33948308,2334.5981268,2334.59829064,2334.59844584,1,1,711.450521920407,-1,1,2,7,676.087173352462,810.631410004001,796.338063656669,634.993860973141,797.592310351988,805.076972403972,691.461240638488,666.307724568518,626.88046311403,621.236493266824,612.282903685821,713.925668083709,609.67860428417,679.682989774719,614.796159123498,588.235050291006,598.321591113114,605.876543514923,776.173310066175,766.794548200911,703.41609563919,696.950140369865,668.720818070106,816.331071622371,690.325782694624,642.71316383068,651.766458518311,626.879459565031,593.030750707169,746.913690378425,665.95807273672,824.188285466823,702.813161487566,701.849625134465,594.79145255481,721.556246470083,825.726072557497,615.559520537393,735.579033589652,817.283990767499,627.15661363207,648.827503546079,819.952400563764,757.845933979832,625.779887493539,706.912471674467,749.855970290126,649.125200894493,655.686190519309,779.219424348341,721.171491281127,716.814976655339,818.199548507495,599.306320791478,799.273506497626,690.797369141018,637.515126097455,794.781732048866,764.149588174576,788.509476723892,10,16
0,0.376008920000004,0.333455240000148,2334.59844584,2336.59788504,2337.19800964,2336.73953688,2337.9302858,2338.35640904,2338.30629472,2338.63974996,2338.63974996,2338.63994704,0,1,711.450521920407,-1,-1,1.13333333333333,2.13333333333333,682.921082866216,795.903384760809,764.603765586421,792.278078679868,612.669584549053,799.299440292875,606.083773479792,636.762036882291,646.155124717458,620.184853895771,766.455449162254,606.559374918581,607.990217633397,759.386727045788,716.744772333446,635.691940687796,716.984295965103,715.267754602382,739.362331956425,787.457334436048,697.508038110906,705.725651756148,749.384159402035,753.279424998466,632.39712805292,802.178411505951,735.020732577691,702.696245260987,810.732779432414,651.216773358524,779.48901036387,791.925771942674,760.762205079937,657.805277042615,648.280272623243,626.323675581018,708.026140309939,658.20901594636,695.192657926427,812.930235232709,677.707912165433,646.217580930188,600.941092218791,644.426946417063,827.340824824618,612.267347802527,724.471598015538,775.508403895662,825.979446320404,737.755864269363,771.653283333139,782.265878500438,682.514155722084,751.321910886215,660.639583086931,614.998783958389,820.214441874982,735.350684400457,723.630999511803,650.792138344728,8,0
1,NaN,NaN,2338.63994704,2338.91456516,2339.3647518,2339.2062278,2340.09679444,2340.52311532,NaN,2340.80667132,2340.80667132,2340.8067838,0,1,454.274739039796,-1,-1,2,-4.5,468.157568230012,438.395517368559,434.457747528063,340.806575838925,358.719483220195,562.406149199231,503.144248822406,492.53930419496,346.359286461569,383.379540572856,352.698003544525,576.054779721787,334.484537296539,434.940039665364,395.988740880025,387.815749118822,540.083718777885,546.826195780872,417.043111857157,538.345941728772,339.890009249989,473.583850526078,391.029971521875,500.768365826435,387.231955775814,472.087825342548,405.922740977635,549.844489345274,457.811919443326,432.66151536917,542.563321898439,510.243555698083,331.492810962687,390.713290387038,516.289749497398,338.547182697321,356.482555335243,361.260291152143,333.470585580811,342.431884710466,453.885502286022,370.660554346688,354.849034586426,555.357203681201,481.2092816309,449.026166275117,453.681015909753,552.874033029205,423.288911171092,418.843236439684,432.836749212909,415.443055151074,481.716916486199,443.509330250421,510.779669265295,415.627882041404,344.530730220634,379.856200930706,338.888948107452,389.242153613197,0,0
1,NaN,NaN,2340.8067838,2341.13975132,2341.18128812,2341.481261,2342.21345844,2342.6397702,NaN,2342.92314116,2342.92314116,2342.92323492,0,0,711.450521920407,1,1,1.78333333333333,10.7833333333333,588.743694963882,772.080644463249,779.773468138426,745.318994079347,747.96778228979,810.813824255263,722.515758845406,682.182964659523,737.561939911202,617.158954585902,690.110617459253,690.44559042878,821.679316946859,722.048613763011,820.763101644002,726.379621274646,800.63973505911,662.765888433381,797.246826052473,822.919170189744,634.374791661219,669.460685818479,619.957647113933,722.293926944489,697.600606083382,621.955491702662,665.148670651305,592.254837914552,660.325294570539,754.951226310179,612.915897316022,627.049610597158,699.675520980041,748.453566459009,658.131487059269,708.772543606812,628.674603934504,701.971778300161,668.392710464155,683.11986228625,750.011831071531,714.072449837481,670.199633459476,734.494973554682,739.549222641957,798.138954360764,625.293821023232,826.641543163252,822.422224556349,825.13578496289,765.086257962138,668.607604345024,638.043371238292,645.198921430845,611.701490730674,615.02465067606,688.525156404483,763.90484171016,773.739560407709,791.060173102326,0,0
